tri,vertex,x,y,z,fault_name
57,a,129866.9,3181265.5,-5000.0,tib_dog
57,b,132682.6,3182204.1,-7500.0,tib_dog
57,c,131410.3,3180201.8,-5000.0,tib_dog
57,m,131319.93333333332,3181223.7999999993,-5833.333333333333,tib_dog
58,a,131055.7,3183247.0,-7500.0,tib_dog
58,b,132682.6,3182204.1,-7500.0,tib_dog
58,c,129866.9,3181265.5,-5000.0,tib_dog
58,m,131201.7333333333,3182238.8666666667,-6666.666666666667,tib_dog
59,a,129199.4,3176718.6,-1000.0,tib_dog
59,b,127437.0,3174632.9,2000.0,tib_dog
59,c,128532.0,3175988.6,0.0,tib_dog
59,m,128389.46666666667,3175780.033333333,333.3333333333333,tib_dog
60,a,125987.4,3183768.4,-5000.0,tib_dog
60,b,127364.0,3182809.0,-5000.0,tib_dog
60,c,125069.7,3181682.7,-2500.0,tib_dog
60,m,126140.36666666665,3182753.366666667,-4166.666666666667,tib_dog
61,a,114797.4,3183726.7,2000.0,tib_dog
61,b,114968.2,3181377.6,3881.0,tib_dog
61,c,113934.3,3182682.7,3644.0,tib_dog
61,m,114566.63333333332,3182595.6666666665,3175.0,tib_dog
62,a,119271.3,3182579.5,0.0,tib_dog
62,b,122024.5,3181974.7,-1000.0,tib_dog
62,c,121357.1,3181203.0,0.0,tib_dog
62,m,120884.3,3181919.0666666664,-333.3333333333333,tib_dog
63,a,128740.6,3182016.4,-5000.0,tib_dog
63,b,131055.7,3183247.0,-7500.0,tib_dog
63,c,129866.9,3181265.5,-5000.0,tib_dog
63,m,129887.73333333332,3182176.3000000003,-5833.333333333333,tib_dog
64,a,123609.7,3182934.1,-2500.0,tib_dog
64,b,125987.4,3183768.4,-5000.0,tib_dog
64,c,125069.7,3181682.7,-2500.0,tib_dog
64,m,124888.93333333333,3182795.0666666664,-3333.3333333333335,tib_dog
65,a,131055.7,3183247.0,-7500.0,tib_dog
65,b,132380.2,3184404.6,-10000.0,tib_dog
65,c,132682.6,3182204.1,-7500.0,tib_dog
65,m,132039.5,3183285.233333333,-8333.333333333334,tib_dog
66,a,132380.2,3184404.6,-10000.0,tib_dog
