X,Y,Z,id
-68065.37036680068,3383643.6123005194,-725,44
-68488.55193159403,3386175.5347918025,-765,45
-37994.50948412123,3395699.164058553,-445,46
-40461.689593230265,3395822.634557219,-351,47
-42976.34193847876,3396007.4044917887,-309,48
-46151.50992363831,3396109.5472156717,-198,49
-48909.13328962028,3396483.0715382295,-239,50
-60834.859837320284,3394354.5073267035,-584,51
-57750.17152864102,3394427.9228119487,-250,52
-55071.633581466165,3394464.7500581187,-198,53
-52991.266565554884,3395641.5429395507,-282,54
-63266.1994595304,3393255.6705462583,-667,55
-65779.00815967273,3391577.9152450687,-677,56
-51133.65185010165,3396421.6028249743,-319,57
-67661.94027874713,3389400.5404737857,-732,58
-36005.55593621638,3395594.4588912325,-445,59
-66974.66539418336,3397335.9585413113,-4953,60
-69559.11997933197,3395704.591895813,-5025,61
-71965.89866057655,3393592.8468843675,-5566,62
-73335.48740312758,3389894.2023254214,-5624,63
-49312.54515639354,3399837.158958684,-5455,64
-46481.705099232255,3399398.5195600423,-5427,65
-43023.17837039753,3399282.34526736,-5185,66
-40177.514485535095,3399139.1330605927,-5445,67
-37735.46176656533,3399075.726827565,-5445,68
-35469.36772475379,3398550.525612838,-5445,69
-51500.739455464296,3399890.1875766064,-5455,70
-53518.9592769089,3399286.9387747077,-5455,71
-56000.98746112548,3398590.1459737336,-5231,72
-58449.91355835623,3398540.166611042,-5034,73
-61143.95106603811,3398680.248939813,-5284,74
-64272.43076680008,3398313.508607357,-5043,75
-32830.550487223314,3399891.695428874,-10445,76
-33073.161532548365,3398078.276309367,-5445,77
-33938.8811973487,3395000.2392779626,-445,78
-42797.02914660669,3401744.546436685,-10192,79
-45334.28940055799,3401931.8339572935,-10455,80
-48379.6380628217,3402145.6326738107,-10455,81
-51102.11979001073,3402697.1767520183,-10455,82
-53809.97239746165,3402541.810869268,-10455,83
-56151.05626288521,3401602.292423757,-10455,84
-59256.86963002511,3401645.5372598413,-10455,85
-62365.90941833623,3401630.9222763395,-10233,86
-65156.44024237455,3400893.4118200135,-10095,87
-68132.18431268213,3400519.8526058,-9914,88
-71034.69300434075,3399612.841237857,-9789,89
-73899.51293007808,3398468.7775369645,-10176,90
-78298.87005955947,3388685.5011560065,-10382,91
-76395.42498706188,3395655.514393992,-10619,92
-77493.31372246635,3392296.199729173,-10409,93
-40256.84505233436,3401616.612109651,-10350,94
-37576.05745513049,3401246.6900889985,-10445,95
-35059.30676002125,3400650.0745431324,-10445,96
-51279.248259339256,3343897.7628627606,-4573,97
-53707.103062074406,3345458.9936064817,-5409,98
-56229.0072750554,3348237.1568963863,-5782,99
-58548.366288540645,3350946.926957068,-5876,100
-60770.45517400454,3353534.6251896773,-5717,101
-62868.19519596022,3356528.96844793,-5722,102
-64604.503455347854,3359564.1784536038,-5865,103
