tri,vertex,x,y,z,fault_name
117,a,-69577.2601544654,3372077.7586139175,-5697.0,gurla
117,b,-66493.7242800314,3374862.487326863,-981.0,gurla
117,c,-65700.459982161,3372752.1065405607,-982.0,gurla
117,m,-67257.14813888592,3373230.784160447,-2553.3333333333335,gurla
118,a,-73712.203624821,3372648.769321705,-10601.0,gurla
118,b,-71331.4987466341,3375646.2637648326,-5149.0,gurla
118,c,-69577.2601544654,3372077.7586139175,-5697.0,gurla
118,m,-71540.32084197349,3373457.5972334854,-7149.0,gurla
119,a,-77827.8183583013,3374743.061476691,-15170.0,gurla
119,b,-74807.8319352223,3375122.6541048493,-9730.0,gurla
119,c,-76899.50261722,3372328.6433806038,-15411.0,gurla
119,m,-76511.71763691453,3374064.7863207147,-13437.0,gurla
120,a,-64249.5945920596,3370857.268840258,-1030.0,gurla
120,b,-59184.8090251695,3375449.271138312,4474.0,gurla
120,c,-57910.6218629291,3373662.3160844846,4578.0,gurla
120,m,-60448.34182671941,3373322.9520210177,2674.0,gurla
121,a,-74807.8319352223,3375122.6541048493,-9730.0,gurla
121,b,-71331.4987466341,3375646.2637648326,-5149.0,gurla
121,c,-73712.203624821,3372648.769321705,-10601.0,gurla
121,m,-73283.84476889246,3374472.5623971284,-8493.333333333334,gurla
122,a,-81368.7074285488,3375935.489477783,-20186.0,gurla
122,b,-77827.8183583013,3374743.061476691,-15170.0,gurla
122,c,-79891.070838791,3373347.905831542,-19992.0,gurla
122,m,-79695.86554188037,3374675.4855953385,-18449.333333333332,gurla
123,a,-71331.4987466341,3375646.2637648326,-5149.0,gurla
123,b,-66493.7242800314,3374862.487326863,-981.0,gurla
123,c,-69577.2601544654,3372077.7586139175,-5697.0,gurla
123,m,-69134.16106037697,3374195.5032352046,-3942.3333333333335,gurla
124,a,-65700.459982161,3372752.1065405607,-982.0,gurla
124,b,-59184.8090251695,3375449.271138312,4474.0,gurla
124,c,-64249.5945920596,3370857.268840258,-1030.0,gurla
124,m,-63044.954533130025,3373019.5488397107,820.6666666666666,gurla
125,a,-65700.459982161,3372752.1065405607,-982.0,gurla
125,b,-60246.5312166898,3376933.714390677,4472.0,gurla
125,c,-59184.8090251695,3375449.271138312,4474.0,gurla
125,m,-61710.60007467343,3375045.03068985,2654.6666666666665,gurla
126,a,-71331.4987466341,3375646.2637648326,-5149.0,gurla
126,b,-66986.766439658,3377196.31436382,-969.0,gurla
126,c,-66493.7242800314,3374862.487326863,-981.0,gurla
126,m,-68270.66315544116,3375901.6884851716,-2366.3333333333335,gurla
127,a,-77827.8183583013,3374743.061476691,-15170.0,gurla
127,b,-76072.2800320425,3378253.940000735,-9525.0,gurla
127,c,-74807.8319352223,3375122.6541048493,-9730.0,gurla
127,m,-76235.9767751887,3376039.8851940916,-11475.0,gurla
